,Names,Rating,Release_Year
0, Ship of Theseus,8.1,2012
1, Iruvar,8.5,1997
2, Kaagaz Ke Phool,8,1959
3, Lagaan: Once Upon a Time in India,8.1,2001
4, Pather Panchali,8.6,1955
5, Charulata,8.3,1964
6, Rang De Basanti,8.2,2006
7, Dev.D,8,2009
8, 3 Idiots,8.4,2009
9, Awaara,7.9,1951
10, Nayakan,8.6,1987
11, Aparajito,8.4,1956
12, Pushpaka Vimana,8.6,1987
13, Pyaasa,8.5,1957
14, Ghatashraddha,7.3,1977
15, Sholay,8.2,1975
16, Aradhana,7.6,1969
17, Do Ankhen Barah Haath,8.4,1957
18, Bombay,8.1,1995
19, Neecha Nagar,6.8,1946
20, Do Bigha Zamin,8.4,1953
21, Garm Hava,8.1,1974
22, Piravi,7.7,1989
23, Mughal-E-Azam,8.2,1960
24, Amma Ariyan,7.1,1986
25, Madhumati,8,1958
26, Goopy Gyne Bagha Byne,8.8,1969
27, Gangs of Wasseypur,8.2,2012
28, Guide,8.4,1965
29, Satya,8.2,1998
30, Roja,8.2,1992
31, Mr. India,7.8,1987
32, The Cloud-Capped Star,8,1960
33, Harishchandrachi Factory,8.4,2009
34, Masoom,8.4,1983
35, Agneepath,7.7,1990
36, Tabarana Kathe,8,1986
37, Zakhm,7.9,1998
38, Dil Chahta Hai,8.1,2001
39, Bhaag Milkha Bhaag,8.2,2013
40, Chupke Chupke,8.3,1975
41, Dilwale Dulhania Le Jayenge,8.1,1995
42, Taare Zameen Par,8.4,2007
43, Ardh Satya,8.2,1983
44, Bhumika,7.5,1977
45, Enthiran,7.1,2010
46, Sadma,8.4,1983
47, Shwaas,8.3,2004
48, Lamhe,7.4,1991
49, Haqeeqat,7.8,1964
50, Shree 420,8,1955
51, Kannathil Muthamittal,8.4,2002
52, Hum Aapke Hain Koun...!,7.5,1994
53, Ustad Hotel,8.2,2012
54, Bandit Queen,7.6,1994
55, Lakshya,7.9,2004
56, Black Friday,8.5,2004
57, Manthan,7.7,1976
58, Apoorva Raagangal,7.5,1975
59, English Vinglish,7.8,2012
60, Jewel Thief,8,1967
61, Pakeezah,7.4,1972
62, Maqbool,8.1,2003
63, Jis Desh Men Ganga Behti Hai,7.4,1960
64, Sahib Bibi Aur Ghulam,8.3,1962
65, Shatranj Ke Khilari,7.7,1977
66, Narthanasala,7.6,1963
67, Chandni Bar,7.6,2001
68, Vaaranam Aayiram,8.1,2008
69, Mr. and Mrs. Iyer,7.9,2002
70, Chandni,6.8,1989
71," English, August",6.7,1994
72, Celluloid,7.7,2013
73, Sagara Sangamam,8.8,1983
74, Munna Bhai M.B.B.S.,8.1,2003
75, Saaransh,8.2,1984
76, Guddi,7.2,1971
77, Vanaja,7.1,2006
78, Vazhakku Enn 18/9,8.3,2012
79, Gangaajal,7.8,2003
80, Angoor,8.3,1982
81, Guru,7.7,2007
82, Andaz Apna Apna,8.2,1994
83, Sangam,7.5,I 1964
84, Oka Oori Katha,7.6,1978
85, Bhuvan Shome,7.5,1969
86, Border,7.9,I 1997
87, Parineeta,7.2,2005
88, Devdas,8,1955
89, Abohomaan,7.4,2009
90, Kuch Kuch Hota Hai,7.6,1998
91, Pithamagan,8.4,2003
92, Veyyil,7.7,2006
93, Chemmeen,7.8,1965
94, Jaane Bhi Do Yaaro,8.4,1983
95, Apur Sansar,8.5,1959
96, Kanchivaram,8.1,2008
97, Monsoon Wedding,7.3,2001
98, Black,8.2,2005
99, Deewaar,8.1,1975
