,Names,Rating,Release_Year
0, The Shawshank Redemption,9.3,1994
1, The Godfather,9.2,1972
2, The Godfather: Part II,9,1974
3, The Dark Knight,9,2008
4, 12 Angry Men,9,1957
5, Schindler's List,8.9,1993
6, The Lord of the Rings: The Return of the King,8.9,2003
7, Pulp Fiction,8.9,1994
8," Il buono, il brutto, il cattivo",8.8,1966
9, Fight Club,8.8,1999
10, Joker,8.5,2019
11, The Lord of the Rings: The Fellowship of the Ring,8.8,2001
12, Forrest Gump,8.8,1994
13, Inception,8.8,2010
14, Star Wars: Episode V - The Empire Strikes Back,8.7,1980
15, The Lord of the Rings: The Two Towers,8.7,2002
16, The Matrix,8.7,1999
17, One Flew Over the Cuckoo's Nest,8.7,1975
18, Goodfellas,8.7,1990
19, Shichinin no samurai,8.6,1954
20, Se7en,8.6,1995
21, Cidade de Deus,8.6,2002
22, La vita è bella,8.6,1997
23, The Silence of the Lambs,8.6,1991
24, Star Wars,8.6,1977
25, It's a Wonderful Life,8.6,1946
26, Saving Private Ryan,8.6,1998
27, Sen to Chihiro no kamikakushi,8.6,2001
28, The Green Mile,8.6,1999
29, Léon,8.5,1994
30, Seppuku,8.6,1962
31, Interstellar,8.6,2014
32, The Usual Suspects,8.5,1995
33, The Lion King,8.5,1994
34, American History X,8.5,1998
35, Back to the Future,8.5,1985
36, The Pianist,8.5,2002
37, Modern Times,8.5,1936
38, Terminator 2: Judgment Day,8.5,1991
39, The Intouchables,8.5,2011
40, Psycho,8.5,1960
41, Gladiator,8.5,2000
42, City Lights,8.5,1931
43, The Departed,8.5,2006
44, Whiplash,8.5,2014
45, Once Upon a Time in the West,8.5,1968
46, The Prestige,8.5,2006
47, Avengers: Endgame,8.4,2019
48, Casablanca,8.5,1942
49, Hotaru no haka,8.5,1988
50, Rear Window,8.4,1954
51, Nuovo Cinema Paradiso,8.5,1988
52, Alien,8.4,1979
53, Raiders of the Lost Ark,8.4,1981
54, Memento,8.4,2000
55, Apocalypse Now,8.4,1979
56, The Great Dictator,8.4,1940
57, The Lives of Others,8.4,2006
58, Avengers: Infinity War,8.4,2018
59, Django Unchained,8.4,2012
60, Spider-Man: Into the Spider-Verse,8.4,2018
61, The Shining,8.4,1980
62, Paths of Glory,8.4,1957
63, WALL·E,8.4,2008
64, Sunset Blvd.,8.4,1950
65, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
66, Mononoke-hime,8.4,1997
67, Oldeuboi,8.4,2003
68, Witness for the Prosecution,8.4,1957
69, The Dark Knight Rises,8.4,2012
70, Once Upon a Time in America,8.4,1984
71, Gisaengchung,8.6,2019
72, Aliens,8.3,1986
73, American Beauty,8.3,1999
74, Coco,8.4,I 2017
75, Kimi no na wa.,8.4,2016
76, Braveheart,8.3,1995
77, Das Boot,8.3,1981
78, 3 Idiots,8.4,2009
79, Taare Zameen Par,8.4,2007
80, Star Wars: Episode VI - Return of the Jedi,8.3,1983
81, Toy Story,8.3,1995
82, Reservoir Dogs,8.3,1992
83, Amadeus,8.3,1984
84, Dangal,8.4,2016
85, Good Will Hunting,8.3,1997
86, Inglourious Basterds,8.3,2009
87, M - Eine Stadt sucht einen Mörder,8.3,1931
88, Requiem for a Dream,8.3,2000
89, 2001: A Space Odyssey,8.3,1968
90, Vertigo,8.3,1958
91, Eternal Sunshine of the Spotless Mind,8.3,2004
92, Citizen Kane,8.3,1941
93, Full Metal Jacket,8.3,1987
94, Jagten,8.3,2012
95, North by Northwest,8.3,1959
96, A Clockwork Orange,8.3,1971
97, Snatch,8.3,2000
98, Amélie,8.3,2001
99, The Kid,8.3,1921
